Date,Ticker,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2010-02-11,TQQQ,78.12,83.5,77.87,83.050003,288000.0,0.0,1.0,1.6243697049527863,1.7362374598509684,1.6191713892047297,1.726880553884255,13824000.0
2010-02-12,TQQQ,80.79,84.11,80.32,83.389999,716800.0,0.0,1.0,1.6798877171420332,1.7489213502762266,1.670114883535686,1.7339501801285606,34406400.0
2010-02-16,TQQQ,85.35,86.82,84.01,86.620003,801600.0,0.0,1.0,1.7747049963865886,1.8052710929851623,1.7468420239770046,1.8011125027665065,38476800.0
2010-02-17,TQQQ,87.78,88.11,86.46,88.089996,1598400.0,0.0,1.0,1.8252326254577007,1.832094402245136,1.7977855183079607,1.8316784538122397,76723200.0
2010-02-18,TQQQ,88.0,90.29,87.47,89.760002,3238400.0,0.0,1.0,1.8298071433159908,1.8774237155681912,1.8187867139301104,1.8664033277688368,155443200.0
2010-02-19,TQQQ,89.15,90.93,88.47,89.760002,3873600.0,0.0,1.0,1.853719395757052,1.8907314038832168,1.839579976922337,1.8664033277688368,185932800.0
2010-02-22,TQQQ,90.82,90.82,88.12,89.129997,2124800.0,0.0,1.0,1.8884441449540712,1.8884441449540712,1.8323023348750584,1.8533034681174183,101990400.0
2010-02-23,TQQQ,88.64,89.12,84.47,85.650002,3427200.0,0.0,1.0,1.843114831631016,1.8530955978672852,1.7564069249534289,1.7809430168707834,164505600.0
2010-02-24,TQQQ,87.16,89.25,86.69,88.239998,2942400.0,0.0,1.0,1.81234080240252,1.8557987220562748,1.802567968796173,1.8347974848475996,141235200.0
2010-02-25,TQQQ,85.42,88.79,83.71,88.190002,3801600.0,0.0,1.0,1.7761605247960448,1.8462338210798503,1.7406040450793359,1.83375790487104,182476800.0
2010-02-26,TQQQ,87.93,89.66,87.06,89.290001,2400000.0,0.0,1.0,1.8283516149065349,1.864323959883088,1.8102614761032971,1.8566304733692267,115200000.0
2010-03-01,TQQQ,90.42,93.5,90.42,93.120003,1185600.0,0.0,1.0,1.8801268397571809,1.94417008977324,1.8801268397571809,1.9362687122159827,56908800.0
2010-03-02,TQQQ,93.94,95.7,93.43,93.68,2017600.0,0.0,1.0,1.95331912548982,1.9899152683561399,1.9427145613637844,1.9479128771118408,96844800.0
2010-03-03,TQQQ,94.73,95.55,93.29,94.199997,1998400.0,0.0,1.0,1.96974580325368,1.986796278907306,1.9398035045448727,1.9587253114880099,95923200.0
2010-03-04,TQQQ,94.53,95.37,93.06,95.239998,1227200.0,0.0,1.0,1.9655871506552345,1.9830534915687053,1.9350210540566604,1.9803503257931896,58905600.0
2010-03-05,TQQQ,97.27,99.89,96.75,99.449997,1120000.0,0.0,1.0,2.0225606912539367,2.077039040293572,2.0117481944979785,2.067889942197203,53760000.0
2010-03-08,TQQQ,99.54,100.7,99.54,99.980003,1056000.0,0.0,1.0,2.069761398246293,2.093881583317276,2.069761398246293,2.078910496342661,50688000.0
2010-03-09,TQQQ,99.43,103.31,99.35,101.75,1934400.0,0.0,1.0,2.0674741393171474,2.1481519997269887,2.065810678277769,2.1157145094591145,92851200.0
2010-03-10,TQQQ,101.89,104.86,101.82,104.239998,1670400.0,0.0,1.0,2.118625566278026,2.180381557364941,2.1171700378685703,2.167489692723234,80179200.0
2010-03-11,TQQQ,103.61,105.35,102.92,105.199997,2246400.0,0.0,1.0,2.154389978624657,2.190570256231132,2.1400426271600197,2.187451204402509,107827200.0
2010-03-12,TQQQ,106.36,106.36,104.23,105.440002,1505600.0,0.0,1.0,2.2115714518532816,2.2115714518532816,2.1672818016798376,2.192441691486959,72268800.0
2010-03-15,TQQQ,104.74,105.45,102.5,104.730003,1766400.0,0.0,1.0,2.1778863658058736,2.192649582530355,2.131309456703285,2.17767849555574,84787200.0
2010-03-16,TQQQ,105.76,107.01,104.66,106.709999,1940800.0,0.0,1.0,2.199095494057945,2.225087072798229,2.176222904766495,2.2188490731072985,93158400.0
2010-03-17,TQQQ,107.01,108.97,106.56,107.449997,1659200.0,0.0,1.0,2.225087072798229,2.2658418682629944,2.215730104451727,2.2342360461350204,79641600.0
2010-03-18,TQQQ,107.82,108.88,107.11,108.540001,2174400.0,0.0,1.0,2.2419296158219333,2.2639704745936937,2.2271663990974515,2.2569007859696,104371200.0
2010-03-19,TQQQ,106.62,109.73,105.48,106.620003,1668800.0,0.0,1.0,2.2169777002312605,2.2816447481370874,2.1932733804201217,2.2169777626110494,80102400.0
2010-03-22,TQQQ,105.37,110.78,104.97,109.5,2449600.0,0.0,1.0,2.190986121490977,2.3034776742789256,2.1826688162940857,2.2768622976488753,117580800.0
2010-03-23,TQQQ,110.25,112.03,108.54,111.790001,2305600.0,0.0,1.0,2.2924572448930447,2.3294692530192096,2.256900765176337,2.3244788906943383,110668800.0
2010-03-24,TQQQ,111.0,111.24,109.5,110.199997,3718400.0,0.0,1.0,2.3080521921372155,2.3130425752553503,2.2768622976488753,2.291417519363645,178483200.0
2010-03-25,TQQQ,112.89,114.07,109.42,109.510002,3913600.0,0.0,1.0,2.3473514591925246,2.371887509523353,2.2751988366094973,2.2770702718653237,187852800.0
2010-03-26,TQQQ,111.07,112.19,108.35,110.08000200000001,3512000.0,0.0,1.0,2.309507720546672,2.332796175097966,2.2529500452078137,2.2889224317708927,168576000.0
2010-03-29,TQQQ,111.74,112.73,110.77,111.589996,1585600.0,0.0,1.0,2.3234392067514635,2.3440245371137687,2.3032697416490038,2.3203201341295783,76108800.0
2010-03-30,TQQQ,112.51,113.73,110.47,112.760002,1662400.0,0.0,1.0,2.339450019255479,2.364817800105996,2.2970317627513355,2.3446483765900616,79795200.0
2010-03-31,TQQQ,111.5,113.0,110.47,111.239998,2481600.0,0.0,1.0,2.318448823633329,2.3496387181216702,2.2970317627513355,2.313042533668824,119116800.0
2010-04-01,TQQQ,112.48,114.63,108.53,111.019997,4859200.0,0.0,1.0,2.338826221365712,2.383531736799,2.2566928325464146,2.3084679950172715,233241600.0
2010-04-05,TQQQ,111.83,114.9,111.0,114.230003,2816000.0,0.0,1.0,2.325310600420764,2.3891459178069017,2.3080521921372155,2.3752144939818978,135168000.0
2010-04-06,TQQQ,113.36,116.14,112.64,115.099998,2446400.0,0.0,1.0,2.357124292798872,2.4149295639172634,2.3421531434444685,2.3933045288188213,117427200.0
